fips,state,pop_2019,date,total_doses_state_level,cum_deaths,confirmed,1st_dose,2nd_dose,est_booster_doses
2.0,Alaska,731545.0,2020-12-23,11002.0,197.0,44852.0,11002.0,0.0,0.0
5.0,Arkansas,3017804.0,2020-12-23,4000.0,3376.0,207941.0,4000.0,0.0,0.0
8.0,Colorado,5758736.0,2020-12-23,43749.0,4462.0,316500.0,43749.0,0.0,0.0
9.0,Connecticut,3565287.0,2020-12-23,7761.0,5736.0,170705.0,7761.0,0.0,0.0
10.0,Delaware,973764.0,2020-12-23,6991.0,989.0,52235.0,6991.0,0.0,0.0
12.0,Florida,21477737.0,2020-12-23,81039.0,20874.0,1234399.0,81039.0,0.0,0.0
13.0,Georgia,10617423.0,2020-12-23,26010.0,10519.0,608290.0,26010.0,0.0,0.0
16.0,Idaho,1787065.0,2020-12-23,6538.0,1324.0,133985.0,6538.0,0.0,0.0
21.0,Kentucky,4467673.0,2020-12-23,11192.0,2466.0,250279.0,11192.0,0.0,0.0
22.0,Louisiana,4648794.0,2020-12-23,32766.0,7226.0,293934.0,32766.0,0.0,0.0
23.0,Maine,1344212.0,2020-12-23,13089.0,311.0,20491.0,13089.0,0.0,0.0
24.0,Maryland,6045680.0,2020-12-23,10497.0,5568.0,257862.0,10497.0,0.0,0.0
25.0,Massachusetts,6892503.0,2020-12-23,55897.0,11885.0,334870.0,55897.0,0.0,0.0
26.0,Michigan,9986857.0,2020-12-23,37660.0,12296.0,487866.0,37660.0,0.0,0.0
27.0,Minnesota,5639632.0,2020-12-23,2999.0,5030.0,402519.0,2999.0,0.0,0.0
29.0,Missouri,6137428.0,2020-12-23,23000.0,5088.0,386224.0,23000.0,0.0,0.0
30.0,Montana,1068778.0,2020-12-23,3000.0,914.0,78522.0,3000.0,0.0,0.0
31.0,Nebraska,1934408.0,2020-12-23,8958.0,1561.0,159662.0,8958.0,0.0,0.0
34.0,New Jersey,8882190.0,2020-12-23,2149.0,18466.0,491341.0,2149.0,0.0,0.0
36.0,New York,19453561.0,2020-12-23,89000.0,36697.0,886813.0,89000.0,0.0,0.0
37.0,North Carolina,10488084.0,2020-12-23,24500.0,6360.0,494511.0,24500.0,0.0,0.0
38.0,North Dakota,762062.0,2020-12-23,11903.0,1243.0,90722.0,11903.0,0.0,0.0
39.0,Ohio,11689100.0,2020-12-23,42228.0,12320.0,644822.0,42228.0,0.0,0.0
40.0,Oklahoma,3956971.0,2020-12-23,2253.0,2283.0,269417.0,2253.0,0.0,0.0
41.0,Oregon,4217737.0,2020-12-23,12486.0,1403.0,105970.0,12486.0,0.0,0.0
42.0,Pennsylvania,12801989.0,2020-12-23,26563.0,14512.0,589755.0,26563.0,0.0,0.0
44.0,Rhode Island,1059361.0,2020-12-23,7072.0,1807.0,82066.0,7072.0,0.0,0.0
46.0,South Dakota,884659.0,2020-12-23,8398.0,1389.0,96040.0,8398.0,0.0,0.0
